Year,School,OSRS,DSRS
2012,Stanford,2.47,13.11
2012,Louisiana State,5.49,9.27
2012,Clemson,13.72,1.04
2012,Oklahoma,9.05,5.27
2012,Ohio State,9.92,3.89
2012,Florida State,3.12,10.44
2012,Oklahoma State,11.19,2.31
2012,Oregon State,4.2,7.94
2012,Baylor,18.47,-7.25
2012,Texas,8.01,3.18
2012,Utah State,1.91,8.8
2012,Southern California,5.71,4.82
2012,Michigan,3.66,6.35
2012,Vanderbilt,0.53,9.35
2012,Nebraska,8.87,0.91
2012,Wisconsin,3.26,6.51
2012,Penn State,2.14,7.56
2012,Arizona,10.75,-1.37
2012,Arizona State,6.85,2.15
2012,Northwestern,6.82,2.14
2012,Brigham Young,-0.67,9.44
2012,UCLA,6.16,2.59
2012,Cincinnati,3.62,5.09
2012,Mississippi,8.22,0.21
2012,San Jose State,5.23,2.67
2012,Boise State,0.47,7.38
2012,Texas Christian,1.18,6.31
2012,Central Florida,2.85,3.81
2012,Fresno State,4.58,1.76
2012,Louisiana Tech,20.9,-14.57
2012,Texas Tech,7.58,-1.25
2012,Syracuse,5.26,1.01
2012,Tulsa,4.33,1.91
2012,Michigan State,-4.34,10.55
2012,Mississippi State,0.79,5.36
2012,Louisville,6.37,-0.49
2012,Missouri,2.86,2.68
2012,Iowa State,-1.69,7.09
2012,Georgia Tech,5.42,-0.24
2012,Arkansas State,2.53,2.41
2012,Washington,-1.29,6.19
2012,Northern Illinois,1.94,2.7
2012,North Carolina,5.93,-1.41
2012,Miami (FL),6.15,-2.08
2012,Tennessee,12.79,-8.72
2012,West Virginia,10.42,-6.39
2012,Rutgers,-6.36,10.27
2012,Louisiana-Lafayette,5.44,-1.99
2012,Virginia Tech,-0.75,3.89
2012,Kent State,4.1,-1.35
2012,San Diego State,3.01,-0.31
2012,Utah,-0.37,2.88
2012,Arkansas,0.72,1.68
2012,Pittsburgh,-0.37,2.43
2012,Southern Methodist,-1.72,3.36
2012,North Carolina State,1.2,0.26
2012,Louisiana-Monroe,3.57,-3.61
2012,Toledo,3,-3.18
2012,Bowling Green State,-7.22,6.95
2012,Duke,5.48,-5.76
2012,California,-1.21,0.57
2012,Auburn,-6.65,5.72
2012,Western Kentucky,-0.31,-1.19
2012,Purdue,0.85,-2.44
2012,Ball State,3.36,-4.96
2012,Navy,-4.64,2.88
2012,Middle Tennessee State,-1.48,-0.97
2012,Iowa,-5.36,2.74
2012,Ohio,-0.84,-1.92
2012,Minnesota,-4.29,1.04
2012,Troy,2.25,-5.7
2012,Rice,0.99,-4.51
2012,Nevada,7.57,-11.18
2012,Virginia,-3.97,0.13
2012,East Carolina,0.98,-5.21
2012,Kentucky,-6.88,1.59
2012,Connecticut,-9.8,4.45
2012,Indiana,5.05,-10.58
2012,Houston,1.01,-6.55
2012,Marshall,9.91,-15.94
2012,South Florida,-5.09,-1.04
2012,Wake Forest,-6.1,-0.1
2012,Maryland,-6.07,-0.52
2012,Kansas,-7.26,0.56
2012,Boston College,-5.75,-0.99
2012,Washington State,-2.75,-4.15
2012,Air Force,-2.64,-4.71
2012,Texas-San Antonio,-1.27,-6.22
2012,Temple,-1.5,-6.02
2012,Central Michigan,0.73,-8.64
2012,Texas State,-3.51,-4.52
2012,North Texas,-6.85,-1.56
2012,Buffalo,-5.41,-3.37
2012,Florida International,-3.97,-5.14
2012,Texas-El Paso,-6.47,-2.82
2012,Western Michigan,-1.41,-8.13
2012,Florida Atlantic,-5.88,-3.95
2012,New Mexico,-6.08,-3.83
2012,Illinois,-12.42,2.07
2012,Wyoming,-1.85,-8.93
2012,Memphis,-7.3,-3.8
2012,Alabama-Birmingham,-3.52,-8.13
2012,Miami (OH),-4.2,-7.5
2012,Colorado State,-6.46,-6.08
2012,Colorado,-6.24,-6.42
2012,Hawaii,-10.47,-3.28
2012,Army,-3.33,-10.9
2012,Tulane,-6.46,-7.76
2012,Nevada-Las Vegas,-7.96,-6.61
2012,South Alabama,-9.93,-5.34
2012,Akron,-6.2,-9.11
2012,Eastern Michigan,-7.28,-9.34
2012,Idaho,-11.73,-5.65
2012,Southern Mississippi,-9.19,-8.85
2012,New Mexico State,-9.83,-9.17
2012,Massachusetts,-15.59,-5.37
2011,Alabama,7.45,16.99
2011,Louisiana State,7.52,16.75
2011,Oklahoma State,18.6,5.54
2011,Oklahoma,9.47,10.28
2011,Oregon,15.45,3.35
2011,Stanford,10.65,7.13
2011,Boise State,9.23,7.53
2011,Michigan,7.15,9.12
2011,Wisconsin,9.72,6.17
2011,Southern California,9.07,5.09
2011,Arkansas,9.9,3.96
2011,Baylor,19.95,-6.12
2011,South Carolina,4.92,8.64
2011,Texas A&M,11.59,1.78
2011,Texas,1.99,10.17
2011,Houston,11.27,0.67
2011,Kansas State,7.38,4.07
2011,Florida State,1.27,9.96
2011,Missouri,3.77,7.32
2011,Notre Dame,4.23,6.83
2011,Georgia,4.78,5.88
2011,Michigan State,1.99,8.06
2011,Texas Christian,6.98,2.69
2011,Southern Mississippi,7.11,2.07
2011,Nebraska,4.15,4.62
2011,West Virginia,9.8,-1.16
2011,Virginia Tech,-0.65,8.86
2011,Cincinnati,3.66,3.68
2011,Vanderbilt,2.76,4.33
2011,Toledo,13.83,-6.99
2011,Clemson,8.74,-2.2
2011,Penn State,-4.49,10.96
2011,Rutgers,-0.45,6.87
2011,Florida,0.62,5.38
2011,Temple,-2.21,7.84
2011,Northern Illinois,10.12,-4.57
2011,Tulsa,4.78,0.42
2011,Miami (FL),0.62,4.56
2011,Mississippi State,-0.82,5.96
2011,Arizona State,7.13,-2.03
2011,Brigham Young,0.03,4.77
2011,Ohio State,-0.21,4.87
2011,California,0.56,4
2011,Iowa,3.16,1.22
2011,Tennessee,-2.57,6.83
2011,Auburn,3.57,0.23
2011,North Carolina,2.7,0.93
2011,Georgia Tech,4.79,-1.39
2011,South Florida,1.24,1.97
2011,Utah,-3.09,6.25
2011,Illinois,-4.19,6.82
2011,North Carolina State,1.62,0.96
2011,Louisville,-2.38,4.75
2011,Iowa State,-0.63,2.75
2011,Louisiana Tech,0.32,1.72
2011,Texas Tech,7.57,-5.69
2011,Washington,7.08,-5.28
2011,Northwestern,4.85,-3.19
2011,Ohio,2.26,-0.71
2011,Arkansas State,0.73,0.45
2011,Pittsburgh,-0.23,1.32
2011,Southern Methodist,-3.84,4.63
2011,Nevada,-1.73,2.2
2011,Western Michigan,5.32,-4.9
2011,Virginia,-2.81,2.95
2011,San Diego State,1.03,-1.05
2011,Air Force,4.11,-4.49
2011,Connecticut,-1.91,1.48
2011,Wake Forest,0.38,-1.04
2011,Purdue,-0.78,0.02
2011,UCLA,-1.57,0.52
2011,Navy,2.93,-4.32
2011,Arizona,3.65,-5.1
2011,Kentucky,-6.36,4.73
2011,Central Florida,-5.09,3.28
2011,Utah State,3.18,-5.4
2011,Louisiana-Lafayette,4.44,-7.08
2011,Syracuse,-1.38,-1.77
2011,Wyoming,-1.24,-2.58
2011,Oregon State,-3.57,-0.76
2011,Ball State,-1.2,-3.18
2011,Florida International,-5.28,0.75
2011,Marshall,-5.24,0.65
2011,Boston College,-7.29,2.69
2011,Bowling Green State,-3.07,-1.68
2011,Kansas,-1.93,-2.82
2011,Miami (OH),-6.27,1.37
2011,East Carolina,0.04,-5.09
2011,Washington State,-0.3,-5.31
2011,San Jose State,-2.8,-3.17
2011,Kent State,-9.5,3.48
2011,Minnesota,-5.07,-0.97
2011,Western Kentucky,-4.54,-1.65
2011,Eastern Michigan,-7.65,1.1
2011,Mississippi,-5.81,-0.9
2011,Hawaii,0.25,-7.15
2011,Fresno State,1.57,-8.81
2011,Duke,-1.18,-6.16
2011,Louisiana-Monroe,-5.42,-2.38
2011,Texas-El Paso,-2.65,-5.28
2011,Rice,-2.95,-5.2
2011,Maryland,-1.11,-7.11
2011,Colorado,-5.94,-2.73
2011,Army,-6.41,-2.47
2011,North Texas,-5.41,-4.53
2011,Buffalo,-5.46,-5.43
2011,Indiana,-2.67,-8.24
2011,Central Michigan,-4.28,-7
2011,New Mexico State,-3.09,-8.86
2011,Colorado State,-6.54,-6.15
2011,Idaho,-8.33,-4.92
2011,Alabama-Birmingham,-6.51,-8.52
2011,Troy,-6.81,-8.73
2011,Nevada-Las Vegas,-9.95,-7.77
2011,Memphis,-12.32,-5.85
2011,Middle Tennessee State,-6.35,-12.51
2011,Akron,-12.02,-7.09
2011,Tulane,-9.85,-9.26
2011,New Mexico,-16.29,-3.02
2011,Florida Atlantic,-15.32,-7.3
2010,Stanford,11.33,10.47
2010,Oregon,13.04,8.5
2010,Auburn,16.15,4.52
2010,Boise State,5.85,12.84
2010,Alabama,4.12,14.19
2010,Texas Christian,5.64,12.32
2010,Ohio State,4.66,12.7
2010,Oklahoma,10.21,6.91
2010,Oklahoma State,15.1,1.53
2010,Louisiana State,6.33,8.8
2010,Arkansas,11.35,3.13
2010,Florida State,6.93,7.27
2010,Virginia Tech,7.39,6.64
2010,Wisconsin,9.19,4.83
2010,Missouri,3.09,10.89
2010,South Carolina,5.77,7.2
2010,Nebraska,4.04,8.81
2010,Nevada,11.09,0.87
2010,Texas A&M,5.1,6.28
2010,North Carolina State,6.34,4.66
2010,Notre Dame,3.15,7.2
2010,Iowa,1.62,8.53
2010,Michigan State,4.4,5.51
2010,Southern California,8.08,1.48
2010,West Virginia,-0.85,10.36
2010,Florida,5.35,3.95
2010,Mississippi State,0.13,8.98
2010,Arizona State,6.84,1.58
2010,Utah,2.92,5.38
2010,Miami (FL),2.12,6.14
2010,Arizona,2.76,5.38
2010,Illinois,5.51,2.26
2010,Oregon State,4.57,3.03
2010,Pittsburgh,1.76,5.64
2010,Clemson,0.21,7.14
2010,Maryland,2.77,4.25
2010,Air Force,4.05,2.82
2010,Hawaii,5.69,0.86
2010,Georgia,2.63,3.72
2010,San Diego State,6.72,-0.66
2010,Central Florida,-1.62,7.41
2010,Washington,2.45,3.11
2010,California,-2.22,7.57
2010,North Carolina,1.09,4.06
2010,Tulsa,8.93,-3.97
2010,Northern Illinois,2.35,1.96
2010,Kansas State,8.07,-3.96
2010,Navy,1.01,2.47
2010,Texas Tech,5.87,-2.82
2010,Penn State,0.1,2.87
2010,Louisville,-2.23,4.94
2010,Boston College,-4.98,7.12
2010,South Florida,-0.69,2.85
2010,Kentucky,4.66,-2.78
2010,Southern Mississippi,7.93,-6.14
2010,Tennessee,-0.61,2.38
2010,Texas,-2.82,4.53
2010,Connecticut,0.12,1.52
2010,Baylor,3.47,-1.85
2010,Michigan,9.12,-7.71
2010,Brigham Young,-2.61,3.94
2010,Syracuse,-2.91,4.22
2010,Georgia Tech,0.55,0.24
2010,Colorado,1.42,-0.68
2010,UCLA,-2.55,3.18
2010,Iowa State,-1.37,1.8
2010,Fresno State,2.72,-2.54
2010,Northwestern,0.9,-2.34
2010,Mississippi,6.06,-7.88
2010,Cincinnati,1.2,-3.13
2010,Southern Methodist,-3.05,1.01
2010,Houston,6.65,-8.76
2010,Army,-0.68,-1.75
2010,Idaho,-1.41,-1.36
2010,Virginia,-1.1,-2.2
2010,Temple,-4.5,1.11
2010,Louisiana Tech,0.5,-4.2
2010,Toledo,-0.69,-3.02
2010,Troy,2.19,-6.29
2010,Western Michigan,-1.47,-2.63
2010,Washington State,-2.04,-2.15
2010,East Carolina,11.27,-15.75
2010,Indiana,0.74,-5.22
2010,Duke,2.64,-7.23
2010,Florida International,0.1,-4.81
2010,Minnesota,0.37,-5.43
2010,Wake Forest,-0.88,-4.2
2010,Purdue,-5.98,0.8
2010,Ohio,-2.3,-3.49
2010,Miami (OH),-6.14,0.27
2010,Rutgers,-3.75,-3.02
2010,Arkansas State,0.56,-8.01
2010,Utah State,-3.18,-4.46
2010,Texas-El Paso,-4.82,-3.31
2010,Kansas,-8.02,-0.59
2010,Kent State,-7.5,-1.32
2010,Alabama-Birmingham,-1.29,-7.91
2010,Wyoming,-6.56,-2.76
2010,Vanderbilt,-10.4,0.82
2010,Marshall,-6.5,-3.23
2010,Central Michigan,-5.37,-4.37
2010,Middle Tennessee State,-3.79,-6.81
2010,Colorado State,-8.99,-1.87
2010,Louisiana-Monroe,-7.5,-3.54
2010,Rice,0.06,-11.14
2010,Nevada-Las Vegas,-6.25,-5.61
2010,San Jose State,-8.71,-3.69
2010,Tulane,-3.93,-9.5
2010,North Texas,-6.78,-7.4
2010,Ball State,-6.59,-8.24
2010,Western Kentucky,-7,-8.37
2010,Florida Atlantic,-11.47,-4.43
2010,Bowling Green State,-7.3,-9.46
2010,Louisiana-Lafayette,-6.93,-9.98
2010,New Mexico,-8.77,-9
2010,New Mexico State,-10.39,-7.74
2010,Eastern Michigan,-7.24,-11.83
2010,Buffalo,-14.7,-4.5
2010,Memphis,-13.88,-5.55
2010,Akron,-12.16,-9.38
2009,Alabama,7.09,16.6
2009,Florida,5.61,15.54
2009,Texas,11.08,9.12
2009,Virginia Tech,8.01,10.56
2009,Texas Christian,5.91,11.14
2009,Oregon,12.09,3.39
2009,Ohio State,1.58,13.13
2009,Cincinnati,11.76,2.47
2009,Penn State,2.04,11.82
2009,Georgia Tech,11.79,1.75
2009,Boise State,7.15,6.36
2009,Oklahoma,1.15,12.06
2009,Arkansas,11.43,1.71
2009,Pittsburgh,7.59,5.16
2009,Louisiana State,2.28,10.42
2009,Miami (FL),8.37,3.82
2009,Clemson,5.49,6.24
2009,Mississippi,3.89,7.61
2009,Nebraska,-3.4,14.81
2009,Stanford,12.23,-1.35
2009,Texas Tech,8.7,2.09
2009,Auburn,11.13,-0.87
2009,Iowa,0.25,10.01
2009,Brigham Young,5.62,4.05
2009,Southern California,2.21,6.9
2009,Georgia,7.16,1.89
2009,Tennessee,5.3,3.64
2009,Oregon State,7.16,1.31
2009,Wisconsin,5.11,3.08
2009,North Carolina,-0.8,8.84
2009,Connecticut,8.16,-0.13
2009,Oklahoma State,2.24,5.76
2009,West Virginia,2.71,4.76
2009,Utah,3.34,3.94
2009,South Carolina,-0.52,7.62
2009,Arizona,5.35,1.64
2009,Air Force,-0.78,7.35
2009,Notre Dame,5.71,0.78
2009,Rutgers,0.71,5.63
2009,Florida State,9.19,-3.11
2009,Kentucky,3.14,2.89
2009,Mississippi State,3.33,2.42
2009,Boston College,-1.02,6.5
2009,Navy,1.34,3.53
2009,Central Michigan,1.58,3.18
2009,Missouri,4.13,0.19
2009,California,1.78,2.5
2009,Houston,10.7,-6.49
2009,UCLA,-2.2,5.99
2009,South Florida,-2.47,6.11
2009,Washington,2.34,1.27
2009,East Carolina,0.57,3
2009,Texas A&M,5.96,-2.59
2009,Troy,5.56,-2.84
2009,Michigan State,3.86,-1.33
2009,Nevada,4.38,-2.19
2009,Wake Forest,1.2,0.65
2009,Fresno State,5.11,-3.77
2009,Middle Tennessee State,1.21,-0.11
2009,Kansas,3.89,-3.01
2009,Purdue,2.55,-1.77
2009,Arizona State,-3.52,4.23
2009,Minnesota,-0.81,0.7
2009,Northwestern,0.73,-1.12
2009,Southern Mississippi,3.01,-3.68
2009,Central Florida,-2.97,2.22
2009,Iowa State,-2.18,1.22
2009,North Carolina State,4.61,-5.66
2009,Kansas State,-3.67,2.59
2009,Michigan,2.51,-4.02
2009,Ohio,-2.06,0.17
2009,Baylor,-3.42,1.12
2009,Bowling Green State,1.39,-3.72
2009,Temple,1.07,-3.43
2009,Duke,-0.24,-2.21
2009,Louisiana Tech,-0.47,-2.5
2009,Virginia,-4.67,1.67
2009,Southern Methodist,2.24,-5.33
2009,Marshall,-4.17,0.82
2009,Illinois,-0.38,-3.3
2009,Colorado,-0.66,-3.2
2009,Louisville,-4.49,0.48
2009,Northern Illinois,-3.32,-0.92
2009,Tulsa,-1.73,-2.52
2009,Syracuse,-1.32,-3.09
2009,Wyoming,-6.04,1.5
2009,Idaho,6.95,-11.68
2009,Vanderbilt,-7.14,2.03
2009,Nevada-Las Vegas,-0.35,-5.27
2009,Alabama-Birmingham,-0.24,-5.51
2009,Indiana,0.04,-5.8
2009,Maryland,-1.45,-5.15
2009,Buffalo,-3.72,-3.03
2009,Utah State,3.19,-10.04
2009,Texas-El Paso,1.03,-8.24
2009,San Diego State,-1.55,-6.25
2009,Louisiana-Monroe,-5.2,-2.96
2009,Hawaii,-4.69,-3.51
2009,Colorado State,-3.81,-5.33
2009,Arkansas State,-7.78,-1.85
2009,Louisiana-Lafayette,-3.91,-5.77
2009,Florida Atlantic,0.4,-10.13
2009,Western Michigan,-5.2,-5.33
2009,Kent State,-8.52,-2.18
2009,Florida International,-3.87,-7.28
2009,Toledo,2.4,-13.69
2009,Memphis,-4.53,-7.54
2009,Army,-11.06,-1.53
2009,North Texas,-1.25,-13.13
2009,San Jose State,-12.92,-1.71
2009,Akron,-9.02,-5.63
2009,Washington State,-11.12,-3.75
2009,Ball State,-9.79,-5.59
2009,New Mexico,-7.69,-8.11
2009,Tulane,-10.35,-5.88
2009,Rice,-7.47,-8.86
2009,Miami (OH),-11.15,-5.82
2009,New Mexico State,-15.89,-2.08
2009,Western Kentucky,-7.49,-13.39
2009,Eastern Michigan,-11.74,-11.16
2008,Florida,11.01,14.36
2008,Oklahoma,19.85,4.94
2008,Texas,11.93,12.05
2008,Southern California,5.49,16.76
2008,Penn State,8.19,9.62
2008,Alabama,5.57,10.57
2008,Texas Tech,12.6,2.86
2008,Ohio State,1.5,12.44
2008,Utah,8.13,5.65
2008,Texas Christian,0.4,13.07
2008,Missouri,9.73,3.39
2008,Oklahoma State,11.55,1.54
2008,Boise State,2.11,10.72
2008,Oregon,14.7,-2.32
2008,Mississippi,6.42,5.69
2008,Georgia,10.25,1.35
2008,Iowa,0.6,10.51
2008,Nebraska,10.43,0.49
2008,Florida State,6.11,4.56
2008,California,4.33,6.1
2008,Oregon State,5.93,4.33
2008,Kansas,8.38,0.85
2008,Arizona,7.42,1.79
2008,Pittsburgh,4.79,4.08
2008,Virginia Tech,0.49,7.66
2008,Michigan State,2.23,5.7
2008,North Carolina,5.54,2.36
2008,Wake Forest,-0.27,7.71
2008,West Virginia,1.67,5.42
2008,Tulsa,12.09,-5.03
2008,Clemson,0.67,6.3
2008,Georgia Tech,1.72,5.06
2008,Boston College,1.7,5.02
2008,Rutgers,1.02,5.33
2008,Ball State,3.12,3.14
2008,Cincinnati,1.18,4.85
2008,Louisiana State,6,-0.09
2008,South Carolina,-1.89,7.1
2008,Brigham Young,4.87,0.09
2008,Miami (FL),4.45,0.4
2008,Northwestern,0.48,4.33
2008,Connecticut,0.48,4.2
2008,Vanderbilt,-1.32,5.79
2008,South Florida,0.22,4.23
2008,Rice,10.87,-6.95
2008,Kentucky,-0.85,4.4
2008,Navy,3.48,0.05
2008,Notre Dame,0.16,2.83
2008,Illinois,4.23,-1.28
2008,Maryland,-1.22,4.18
2008,Baylor,1.92,0.67
2008,Air Force,0.48,2.08
2008,Nevada,8.96,-6.72
2008,Houston,8.88,-6.67
2008,Wisconsin,2.63,-0.81
2008,Tennessee,-4.2,5.84
2008,Arizona State,-2.27,3.89
2008,East Carolina,-1.53,3.12
2008,North Carolina State,1.81,-0.4
2008,Virginia,-4.68,6.08
2008,Auburn,-5.96,7.22
2008,Troy,-0.29,1.35
2008,Southern Mississippi,1.79,-1.33
2008,Minnesota,-1.34,1.35
2008,Stanford,2.75,-2.79
2008,Arkansas,2.26,-2.62
2008,Duke,-1.56,1.18
2008,Buffalo,4,-4.41
2008,Purdue,-1.12,0.58
2008,Western Michigan,-0.4,-0.48
2008,Colorado,-3.95,2.89
2008,Bowling Green State,-0.7,-1.3
2008,Northern Illinois,-6.89,4.15
2008,Central Michigan,3.88,-6.63
2008,Temple,-4.65,1.27
2008,Kansas State,3.41,-6.8
2008,Fresno State,3.74,-7.26
2008,Louisiana Tech,-2.3,-1.27
2008,Louisville,-0.93,-2.9
2008,Colorado State,1.01,-4.98
2008,UCLA,-4.86,0.88
2008,Hawaii,-1.04,-3.02
2008,New Mexico,-8.54,4.37
2008,Michigan,-2.11,-2.55
2008,Texas-El Paso,3.94,-8.89
2008,Mississippi State,-6.41,1.42
2008,Texas A&M,1.92,-7.3
2008,Louisiana-Lafayette,2.75,-8.32
2008,Memphis,-0.14,-5.47
2008,Florida Atlantic,-1.97,-3.73
2008,Arkansas State,-5.61,-0.64
2008,Florida International,-2.83,-3.76
2008,Akron,2.72,-9.59
2008,San Jose State,-9.55,2.34
2008,Nevada-Las Vegas,1.26,-8.67
2008,Marshall,-5.86,-1.81
2008,Iowa State,-1.26,-6.54
2008,Central Florida,-10.87,2.47
2008,Middle Tennessee State,-5.13,-3.44
2008,Indiana,-4.11,-4.62
2008,Ohio,-3.18,-5.62
2008,Syracuse,-4.14,-4.86
2008,Utah State,-5.11,-4.09
2008,Alabama-Birmingham,-3.99,-5.79
2008,Louisiana-Monroe,-3.16,-7.42
2008,Kent State,-2.48,-8.62
2008,Wyoming,-11.79,0.35
2008,New Mexico State,-5.47,-6.53
2008,Washington,-8.74,-3.34
2008,Toledo,-6.1,-6.12
2008,Army,-14.11,1.42
2008,Western Kentucky,-10.07,-3.71
2008,Washington State,-11.65,-2.17
2008,Eastern Michigan,-1.78,-12.11
2008,Southern Methodist,-5.77,-8.73
2008,San Diego State,-6.1,-8.88
2008,Tulane,-11.51,-4.27
2008,Miami (OH),-7.79,-9.45
2008,Idaho,-7.71,-12.16
2008,North Texas,-8.89,-13.31
2007,West Virginia,9.51,9.58
2007,Louisiana State,10.5,7.92
2007,Southern California,5.53,12.57
2007,Florida,15.18,2.88
2007,Oregon,11.59,6.23
2007,Georgia,8.1,9.1
2007,Missouri,11.56,5.21
2007,Oklahoma,7.39,8.48
2007,Ohio State,0.11,14.73
2007,Kansas,3.73,10.72
2007,Virginia Tech,2.42,11.8
2007,Arizona State,6.73,6.94
2007,Cincinnati,6.69,6.71
2007,South Florida,7.42,4.95
2007,Auburn,-0.3,12.17
2007,Tennessee,8.03,3.65
2007,Clemson,4.92,6.48
2007,Brigham Young,4.5,6.61
2007,Texas,7.77,3.22
2007,Oregon State,2.97,6.96
2007,Boston College,5.05,4.7
2007,Kentucky,10.17,-0.73
2007,Penn State,2.39,6.7
2007,Arkansas,7.99,0.92
2007,California,5.85,2.6
2007,Texas Tech,6.61,1.68
2007,Alabama,3.18,4.91
2007,Illinois,3.23,4.84
2007,UCLA,0.28,7.69
2007,Michigan,0.78,7.13
2007,Utah,-3.13,10.51
2007,South Carolina,1.53,5.62
2007,Connecticut,-0.93,8
2007,Wake Forest,2.53,4.54
2007,Rutgers,2.52,4.22
2007,Michigan State,8.7,-2.01
2007,Oklahoma State,7.14,-0.47
2007,Hawaii,7.95,-1.59
2007,Boise State,3.99,2.32
2007,Central Florida,3.91,2.22
2007,Arizona,5.59,0.45
2007,Virginia,0.83,5.06
2007,Troy,3.56,2.01
2007,Texas A&M,2.25,3.31
2007,Air Force,2.59,2.77
2007,Wisconsin,3.06,2.25
2007,Florida State,-0.72,5.74
2007,Louisville,9.24,-4.22
2007,Mississippi State,-1.97,6.81
2007,Texas Christian,-1.21,5.66
2007,Washington,6.68,-2.27
2007,Maryland,0.29,4.02
2007,Purdue,4.44,-0.2
2007,Georgia Tech,0.34,3.59
2007,Kansas State,6.48,-2.85
2007,Vanderbilt,-1.98,5.06
2007,Fresno State,3.91,-1.16
2007,Colorado,2.28,0.37
