Year,School,WinPct,PtsScored,PtsAllowed
2012,North Carolina,0.667,40.6,25.7
2012,North Carolina State,0.538,28.1,25.6
2012,North Texas,0.333,20.9,27.8
2012,Northern Illinois,0.857,38.6,19.9
2012,Northwestern,0.769,31.7,22.5
2012,Notre Dame,0.923,25.8,12.8
2012,Ohio,0.692,31.7,24.8
2012,Ohio State,1,37.2,22.8
2012,Oklahoma,0.769,38.2,25.5
2012,Oklahoma State,0.615,45.7,28.2
2012,Oregon,0.923,49.6,21.6
2012,Oregon State,0.692,32.5,20.6
2012,Penn State,0.667,29.1,19.1
2012,Pittsburgh,0.462,26.6,21.1
2012,Purdue,0.462,28.7,31.2
2012,Rice,0.538,31.8,30.5
2012,Rutgers,0.692,21.5,14.2
2012,San Diego State,0.692,32.8,24.4
2012,San Jose State,0.846,34.8,21.3
2012,South Alabama,0.154,18.5,29.5
2012,South Carolina,0.846,31.5,18.2
2012,South Florida,0.25,20.6,27.4
2012,Southern California,0.538,32.1,24.3
2012,Southern Methodist,0.538,31,25.7
2012,Southern Mississippi,0,19.7,37.8
2012,Stanford,0.857,27.9,17.2
2012,Syracuse,0.615,30,24.8
2012,Temple,0.364,24.7,31.2
2012,Tennessee,0.417,36.2,35.7
2012,Texas,0.692,35.7,29.2
2012,Texas A&M,0.846,44.5,21.8
2012,Texas Christian,0.538,28.3,22.6
2012,Texas State,0.333,28.6,33.5
2012,Texas Tech,0.615,37.5,31.8
2012,Texas-El Paso,0.25,21.2,29.8
2012,Texas-San Antonio,0.667,31.2,28.8
2012,Toledo,0.692,31.5,28.4
2012,Troy,0.417,30.6,30.5
2012,Tulane,0.167,21.4,38.4
2012,Tulsa,0.786,34.7,23.6
2012,UCLA,0.643,34.4,27.6
2012,Utah,0.417,26.7,25.1
2012,Utah State,0.846,34.9,15.4
2012,Vanderbilt,0.692,30,18.7
2012,Virginia,0.333,22.8,28.9
2012,Virginia Tech,0.538,25.1,22.8
2012,Wake Forest,0.417,18.5,31.8
2012,Washington,0.538,24,24.2
2012,Washington State,0.25,20.4,33.7
2012,West Virginia,0.538,39.5,38.1
2012,Western Kentucky,0.538,28.2,25.5
2012,Western Michigan,0.333,29.3,29.7
2012,Wisconsin,0.571,29.6,19.1
2012,Wyoming,0.333,26.8,33.4
2011,Air Force,0.538,34.9,28.4
2011,Akron,0.083,14.2,38.5
2011,Alabama,0.923,34.8,8.2
2011,Alabama-Birmingham,0.25,20.2,36.8
2011,Arizona,0.333,30.8,35.4
2011,Arizona State,0.462,33.2,28.6
2011,Arkansas,0.846,36.8,22.2
2011,Arkansas State,0.769,32.5,20.8
2011,Army,0.25,24.8,28.3
2011,Auburn,0.615,25.7,28.9
2011,Ball State,0.5,25.3,34.7
2011,Baylor,0.769,45.3,37.2
2011,Boise State,0.923,44.2,18.7
2011,Boston College,0.333,18.2,23.5
2011,Bowling Green State,0.417,26.5,28.8
2011,Brigham Young,0.769,30.1,20.4
2011,Buffalo,0.25,22.2,29.4
2011,California,0.538,28.3,24.2
2011,Central Florida,0.417,27.1,18.3
2011,Central Michigan,0.25,22.6,33.3
2011,Cincinnati,0.769,33.3,20.3
2011,Clemson,0.714,33.6,29.3
2011,Colorado,0.231,19.8,36.5
2011,Colorado State,0.25,21.4,31.3
2011,Connecticut,0.417,24.3,24.3
2011,Duke,0.25,22.5,31.2
2011,East Carolina,0.417,26.3,32.3
2011,Eastern Michigan,0.5,21.3,24.3
2011,Florida,0.538,25.5,20.3
2011,Florida Atlantic,0.083,12.9,34.7
2011,Florida International,0.615,25,19.5
2011,Florida State,0.692,30.6,15.1
2011,Fresno State,0.308,28.5,35.2
2011,Georgia,0.714,32,20.6
2011,Georgia Tech,0.615,34.3,26.1
2011,Hawaii,0.462,31.5,29.1
2011,Houston,0.929,49.3,22.4
2011,Idaho,0.167,20.3,33.3
2011,Illinois,0.538,22.6,19.6
2011,Indiana,0.083,21.4,37.3
2011,Iowa,0.538,27.5,23.8
2011,Iowa State,0.462,22.7,29.4
2011,Kansas,0.167,22.3,43.8
2011,Kansas State,0.769,31.8,27.9
2011,Kent State,0.417,17.1,24.3
2011,Kentucky,0.417,15.8,24.7
2011,Louisiana State,0.929,35.7,11.3
2011,Louisiana Tech,0.615,30.1,23.2
2011,Louisiana-Lafayette,0.692,32.3,29.8
2011,Louisiana-Monroe,0.333,24.6,25.4
2011,Louisville,0.538,21.9,20.1
2011,Marshall,0.538,21.8,28.6
2011,Maryland,0.167,23.1,34.3
2011,Memphis,0.167,16.3,35.1
2011,Miami (FL),0.5,26.5,20.1
2011,Miami (OH),0.333,21.3,22.9
2011,Michigan,0.846,33.3,17.4
2011,Michigan State,0.786,31,18.4
2011,Middle Tennessee State,0.167,22.3,36.8
2011,Minnesota,0.25,18.4,31.7
2011,Mississippi,0.167,16.1,32.1
2011,Mississippi State,0.538,25.3,19.7
2011,Missouri,0.615,32.8,23.5
2011,Navy,0.417,29.7,28.9
2011,Nebraska,0.692,29.2,23.4
2011,Nevada,0.538,31.7,25.2
2011,Nevada-Las Vegas,0.167,17.3,40.4
2011,New Mexico,0.083,12,41.7
2011,New Mexico State,0.308,24.5,36.8
2011,North Carolina,0.538,28,24.8
2011,North Carolina State,0.615,28.2,24.7
2011,North Texas,0.417,24.8,30.7
2011,Northern Illinois,0.786,38.3,30.3
2011,Northwestern,0.462,28.9,27.7
2011,Notre Dame,0.615,29.2,20.7
2011,Ohio,0.714,30.5,22.1
2011,Ohio State,0.462,24.5,21
2011,Oklahoma,0.769,39.5,22.1
2011,Oklahoma State,0.923,48.7,26.8
2011,Oregon,0.857,46.1,24.6
2011,Oregon State,0.25,21.8,30.8
2011,Penn State,0.692,19.3,16.8
2011,Pittsburgh,0.462,24.2,22.8
2011,Purdue,0.538,26.9,26.8
2011,Rice,0.333,23.3,33.3
2011,Rutgers,0.692,26.4,18.3
2011,San Diego State,0.615,29.8,25
2011,San Jose State,0.417,24.5,30.3
2011,South Carolina,0.846,30.1,18.4
2011,South Florida,0.417,29.3,22.7
2011,Southern California,0.833,35.8,23.6
2011,Southern Methodist,0.615,25.8,23.1
2011,Southern Mississippi,0.857,36.9,20.8
2011,Stanford,0.846,43.2,21.9
2011,Syracuse,0.417,24.2,28.5
2011,Temple,0.692,30.6,13.9
2011,Tennessee,0.417,20.3,22.6
2011,Texas,0.615,28.1,22.2
2011,Texas A&M,0.538,39.1,28.2
2011,Texas Christian,0.846,40.8,21.5
2011,Texas Tech,0.417,33.8,39.3
2011,Texas-El Paso,0.417,26.6,30.3
2011,Toledo,0.692,42.2,31.7
2011,Troy,0.25,22.4,33.7
2011,Tulane,0.154,21.1,37.5
2011,Tulsa,0.615,33.1,27.3
2011,UCLA,0.429,23.1,31.4
2011,Utah,0.615,25,20.2
2011,Utah State,0.538,33.6,27.9
2011,Vanderbilt,0.462,26.7,21.6
2011,Virginia,0.615,23.2,23.8
2011,Virginia Tech,0.786,27.9,17.6
2011,Wake Forest,0.462,26,27.4
2011,Washington,0.538,33.4,35.9
2011,Washington State,0.333,29.8,31.8
2011,West Virginia,0.769,37.6,26.8
2011,Western Kentucky,0.583,22.9,24.8
2011,Western Michigan,0.538,35.3,28.7
2011,Wisconsin,0.786,44.1,19
2011,Wyoming,0.615,26.1,27.8
2010,Air Force,0.692,30.8,21.1
2010,Akron,0.083,15.6,35.1
2010,Alabama,0.769,35.7,13.5
2010,Alabama-Birmingham,0.333,26.3,31.6
2010,Arizona,0.538,28.2,22.7
2010,Arizona State,0.5,32.3,25
2010,Arkansas,0.769,36.5,23.4
2010,Arkansas State,0.333,30,30.8
2010,Army,0.538,26.6,24.3
2010,Auburn,1,41.2,24.1
2010,Ball State,0.333,22,30.4
2010,Baylor,0.538,31.2,30.5
2010,Boise State,0.923,45.1,12.8
2010,Boston College,0.538,18.5,19.5
2010,Bowling Green State,0.167,21.3,33.6
2010,Brigham Young,0.538,26.2,21.6
2010,Buffalo,0.167,14.2,27.8
2010,California,0.417,25.8,22.6
2010,Central Florida,0.786,32.1,17.1
2010,Central Michigan,0.25,24.4,26
2010,Cincinnati,0.333,27.1,28
2010,Clemson,0.462,24,18.8
2010,Colorado,0.417,24.2,30.8
2010,Colorado State,0.25,16.5,34.7
2010,Connecticut,0.615,26.4,22
2010,Duke,0.25,25.3,35.4
2010,East Carolina,0.462,36.8,44
2010,Eastern Michigan,0.167,19,43.9
2010,Florida,0.615,29.8,21.3
2010,Florida Atlantic,0.333,16.8,29.3
2010,Florida International,0.538,28.8,27.3
2010,Florida State,0.714,31.4,19.6
2010,Fresno State,0.615,29,30
2010,Georgia,0.462,32.1,22.1
2010,Georgia Tech,0.462,26,25.2
2010,Hawaii,0.714,39.6,25.5
2010,Houston,0.417,37.7,32.2
2010,Idaho,0.462,26.6,28.3
2010,Illinois,0.538,32.5,23.5
2010,Indiana,0.417,27.2,34
2010,Iowa,0.615,28.9,17
2010,Iowa State,0.417,21.7,28.8
2010,Kansas,0.25,17.1,34.4
2010,Kansas State,0.538,33.6,29.1
2010,Kent State,0.417,21.3,22.9
2010,Kentucky,0.462,31.2,28.4
2010,Louisiana State,0.846,29.7,18.2
2010,Louisiana Tech,0.417,26.8,30.7
2010,Louisiana-Lafayette,0.25,22.3,37
2010,Louisiana-Monroe,0.417,20.8,32.4
2010,Louisville,0.538,26.4,19.4
2010,Marshall,0.417,20.8,28.8
2010,Maryland,0.692,32.2,22.2
2010,Memphis,0.083,14.4,39.8
2010,Miami (FL),0.538,26.3,20.7
2010,Miami (OH),0.714,21.6,23.2
2010,Michigan,0.538,32.8,35.2
2010,Michigan State,0.846,29.5,22.3
2010,Middle Tennessee State,0.462,26.5,28.1
2010,Minnesota,0.25,23.2,33
2010,Mississippi,0.333,30.6,35.2
2010,Mississippi State,0.692,29,19.8
2010,Missouri,0.769,29.8,16.1
2010,Navy,0.692,29.7,23.3
2010,Nebraska,0.714,30.9,17.4
2010,Nevada,0.929,41,21.4
2010,Nevada-Las Vegas,0.154,18.4,39.7
2010,New Mexico,0.083,15.8,44.3
2010,New Mexico State,0.167,15.7,39.5
2010,North Carolina,0.615,25.3,23.2
2010,North Carolina State,0.692,31.8,21.3
2010,North Texas,0.25,23.9,29.7
2010,Northern Illinois,0.786,38,18.9
2010,Northwestern,0.538,26.4,29
2010,Notre Dame,0.615,26.3,20.2
2010,Ohio,0.615,27.5,23.8
2010,Ohio State,0.923,38.8,14.3
2010,Oklahoma,0.857,37.2,21.8
2010,Oklahoma State,0.846,44.2,26.4
2010,Oregon,0.923,47,18.7
2010,Oregon State,0.417,24.4,26.8
2010,Penn State,0.538,24.5,23.7
2010,Pittsburgh,0.615,26.3,19
2010,Purdue,0.333,19.7,28.8
2010,Rice,0.333,28.7,38.5
2010,Rutgers,0.333,20.8,26.5
2010,San Diego State,0.692,35,22.1
2010,San Jose State,0.077,16.1,34.7
2010,South Carolina,0.643,30.9,23.1
2010,South Florida,0.615,24.1,20
2010,Southern California,0.615,31,26.7
2010,Southern Methodist,0.5,25.7,25.6
2010,Southern Mississippi,0.615,36.8,29.5
2010,Stanford,0.923,40.3,17.4
2010,Syracuse,0.615,22.2,19.3
2010,Temple,0.667,25,19.1
2010,Tennessee,0.462,27,25.1
2010,Texas,0.417,23.8,23.7
2010,Texas A&M,0.692,31.2,21.9
2010,Texas Christian,1,41.6,12
2010,Texas Tech,0.615,33.1,30.9
2010,Texas-El Paso,0.462,26,27.5
2010,Toledo,0.615,27.9,28.5
2010,Troy,0.615,34.1,30.2
2010,Tulane,0.333,24.9,37.2
2010,Tulsa,0.769,41.4,30.3
2010,UCLA,0.333,20.2,30.3
2010,Utah,0.769,33.1,20.3
2010,Utah State,0.333,22,33.8
2010,Vanderbilt,0.167,16.9,31.2
2010,Virginia,0.333,25.3,28.3
2010,Virginia Tech,0.786,33.9,20.6
2010,Wake Forest,0.25,22.8,35.8
2010,Washington,0.538,21.8,29.3
2010,Washington State,0.167,19.6,35.8
2010,West Virginia,0.692,25.2,13.5
2010,Western Kentucky,0.167,22.8,33.2
2010,Western Michigan,0.5,32.3,23.8
2010,Wisconsin,0.846,41.5,20.5
2010,Wyoming,0.25,19.2,30.3
2009,Air Force,0.615,29.7,15.7
2009,Akron,0.25,19.3,28.8
2009,Alabama,1,32.1,11.7
2009,Alabama-Birmingham,0.417,27.8,32.3
2009,Arizona,0.615,27.4,23.9
2009,Arizona State,0.333,22.3,21.1
2009,Arkansas,0.615,36,25.1
2009,Arkansas State,0.333,22.7,23.3
2009,Army,0.417,15.3,21.9
2009,Auburn,0.615,33.3,27.5
2009,Ball State,0.167,19.2,28.2
2009,Baylor,0.333,20.8,27.3
2009,Boise State,1,42.2,17.1
2009,Boston College,0.615,24.8,19.8
2009,Bowling Green State,0.538,28.5,27.5
2009,Brigham Young,0.846,35.5,21.5
2009,Buffalo,0.417,24.1,23.8
2009,California,0.615,29.1,25.5
2009,Central Florida,0.615,26.2,22.5
2009,Central Michigan,0.857,33.9,18.9
2009,Cincinnati,0.923,38.6,23.1
2009,Clemson,0.643,31.1,20.4
2009,Colorado,0.25,22.3,28.8
2009,Colorado State,0.25,21.7,29.8
2009,Connecticut,0.615,31.2,23.6
2009,Duke,0.417,25.2,28.3
2009,East Carolina,0.643,27,21.9
2009,Eastern Michigan,0,16.4,38.3
2009,Florida,0.929,35.9,12.4
2009,Florida Atlantic,0.417,27.4,33.8
2009,Florida International,0.25,22.9,35.3
2009,Florida State,0.538,30.1,30
2009,Fresno State,0.615,33.8,28.4
2009,Georgia,0.615,28.9,25.9
2009,Georgia Tech,0.786,33.8,24.8
2009,Hawaii,0.462,22.8,29.5
2009,Houston,0.714,42.2,30.1
2009,Idaho,0.615,32.7,36
2009,Illinois,0.25,24.2,30.2
2009,Indiana,0.333,23.5,29.5
2009,Iowa,0.846,23.2,15.4
2009,Iowa State,0.538,20.5,21.8
2009,Kansas,0.417,29.4,28.4
2009,Kansas State,0.5,23,23.3
2009,Kent State,0.417,19.3,22.4
2009,Kentucky,0.538,26.1,22.7
2009,Louisiana State,0.692,24.8,16.2
2009,Louisiana Tech,0.333,29.2,25.8
2009,Louisiana-Lafayette,0.5,22.2,30.3
2009,Louisiana-Monroe,0.5,25.6,27.3
2009,Louisville,0.333,18.1,26.3
2009,Marshall,0.538,21.8,24.3
2009,Maryland,0.167,21.3,31.3
2009,Memphis,0.167,21.8,34.8
2009,Miami (FL),0.692,30.3,22.2
2009,Miami (OH),0.083,15.6,34.2
2009,Michigan,0.417,29.5,27.5
2009,Michigan State,0.462,29.7,26.3
2009,Middle Tennessee State,0.769,32,23.7
2009,Minnesota,0.462,20.9,23.8
2009,Mississippi,0.692,29.5,17.7
2009,Mississippi State,0.417,25.6,26.8
2009,Missouri,0.615,29,25.4
2009,Navy,0.714,28,19.4
2009,Nebraska,0.714,25.1,10.4
2009,Nevada,0.615,38.2,28.5
2009,Nevada-Las Vegas,0.417,24.8,32.4
2009,New Mexico,0.083,16.3,35.9
2009,New Mexico State,0.231,11.5,31.6
2009,North Carolina,0.615,23.8,17.1
2009,North Carolina State,0.417,30.3,31.2
2009,North Texas,0.167,26.6,35.6
2009,Northern Illinois,0.538,28.6,21.6
2009,Northwestern,0.615,25.9,24.5
2009,Notre Dame,0.5,30.1,25.9
2009,Ohio,0.643,24.8,21.3
2009,Ohio State,0.846,29,12.5
2009,Oklahoma,0.615,31.1,14.5
2009,Oklahoma State,0.692,28.4,21.7
2009,Oregon,0.769,36.1,23.8
2009,Oregon State,0.615,31.5,25
2009,Penn State,0.846,28.8,12.2
2009,Pittsburgh,0.769,32.1,19.8
2009,Purdue,0.417,27.8,29.1
2009,Rice,0.167,18.3,43.1
2009,Rutgers,0.692,28.8,17.9
2009,San Diego State,0.333,23.3,30.5
2009,San Jose State,0.167,13.8,34.5
2009,South Carolina,0.538,20.6,20.4
2009,South Florida,0.615,26.5,19.8
2009,Southern California,0.692,26.5,19.8
2009,Southern Methodist,0.615,29.2,27.6
2009,Southern Mississippi,0.538,32.9,25.8
2009,Stanford,0.615,35.5,26.5
2009,Syracuse,0.333,21.2,27.9
2009,Temple,0.692,29.5,22.3
2009,Tennessee,0.538,29.3,22.2
2009,Texas,0.929,39.3,16.7
2009,Texas A&M,0.462,32.8,33.5
2009,Texas Christian,0.923,38.3,12.8
2009,Texas Tech,0.692,37,22.5
2009,Texas-El Paso,0.333,29.8,33.5
2009,Toledo,0.417,29.7,37.7
2009,Troy,0.692,33.7,29.8
2009,Tulane,0.25,16.1,36.7
2009,Tulsa,0.417,29.3,27.3
2009,UCLA,0.538,22,21.2
2009,Utah,0.769,29.8,20.2
2009,Utah State,0.333,29.1,34
2009,Vanderbilt,0.167,16.3,23.3
2009,Virginia,0.25,19.3,26.3
2009,Virginia Tech,0.769,31.8,15.6
2009,Wake Forest,0.417,26.3,26.3
2009,Washington,0.417,26.1,26.7
2009,Washington State,0.083,12,38.5
2009,West Virginia,0.692,26.2,21.7
2009,Western Kentucky,0,20.4,39.6
2009,Western Michigan,0.417,24.7,27.5
2009,Wisconsin,0.769,31.8,21.8
2009,Wyoming,0.538,18.3,27.3
2008,Air Force,0.615,26.8,22.2
2008,Akron,0.417,30,31.3
2008,Alabama,0.857,30.1,14.3
2008,Alabama-Birmingham,0.333,22.8,31.3
2008,Arizona,0.615,36.6,21.3
2008,Arizona State,0.417,22.8,22.7
2008,Arkansas,0.417,21.9,31.2
2008,Arkansas State,0.5,27,23.8
2008,Army,0.25,14.8,23.7
2008,Auburn,0.417,17.3,18
2008,Ball State,0.857,34.9,20.5
2008,Baylor,0.333,28,29.3
2008,Boise State,0.923,37.6,12.6
2008,Boston College,0.643,24.7,18.4
2008,Bowling Green State,0.5,27.7,23.2
2008,Brigham Young,0.769,34.2,21.9
2008,Buffalo,0.571,30.3,28.2
2008,California,0.692,32.6,19.9
2008,Central Florida,0.333,16.6,24.1
2008,Central Michigan,0.615,29.5,30.2
2008,Cincinnati,0.786,25.9,20.1
2008,Clemson,0.538,25.2,17.3
2008,Colorado,0.417,20.2,29.3
2008,Colorado State,0.538,25.2,30.2
2008,Connecticut,0.615,24.9,19.8
2008,Duke,0.333,20.1,23.4
2008,East Carolina,0.643,23.4,21.1
2008,Eastern Michigan,0.25,25.8,35.6
2008,Florida,0.929,43.6,12.9
2008,Florida Atlantic,0.538,25.1,28.7
2008,Florida International,0.417,24.7,28.3
2008,Florida State,0.692,33.4,20.2
2008,Fresno State,0.538,29.6,31.1
2008,Georgia,0.769,31.5,24.5
2008,Georgia Tech,0.692,24.4,20.3
2008,Hawaii,0.5,24.6,28.9
2008,Houston,0.615,40.6,30.9
2008,Idaho,0.167,19.6,42.8
2008,Illinois,0.417,28.7,26.6
2008,Indiana,0.25,20.5,35.3
2008,Iowa,0.692,30.3,13
2008,Iowa State,0.167,25.3,35.8
2008,Kansas,0.615,33.4,28.8
2008,Kansas State,0.417,34.9,35.8
2008,Kent State,0.333,25.7,31.7
2008,Kentucky,0.538,22.6,21.5
2008,Louisiana State,0.615,30.9,24.2
2008,Louisiana Tech,0.615,24.6,23.7
2008,Louisiana-Lafayette,0.5,33.1,33.7
2008,Louisiana-Monroe,0.333,23.7,31.2
2008,Louisville,0.417,24.7,29.8
2008,Marshall,0.333,20.5,27.7
2008,Maryland,0.615,21.8,22.5
2008,Memphis,0.462,27.2,27.2
2008,Miami (FL),0.538,27.1,24.2
2008,Miami (OH),0.167,18.4,32.7
2008,Michigan,0.25,20.3,28.9
2008,Michigan State,0.692,25.1,22.1
2008,Middle Tennessee State,0.417,22.8,24.9
2008,Minnesota,0.538,23.2,24.8
2008,Mississippi,0.692,32.1,19
2008,Mississippi State,0.333,15.3,24.7
2008,Missouri,0.714,42.2,27.2
2008,Navy,0.615,27.2,22
2008,Nebraska,0.692,35.4,28.5
2008,Nevada,0.538,37.6,32.3
2008,Nevada-Las Vegas,0.417,25.6,32.6
2008,New Mexico,0.333,21.1,22.8
2008,New Mexico State,0.25,22.2,34.1
2008,North Carolina,0.615,27.7,21.2
2008,North Carolina State,0.462,23.5,26.3
2008,North Texas,0.083,20,47.6
